id;timestamp;category;product;brand;size;price;availability
3f79d42d00859a32fb8f849a53ad9d73;2019-11-30 00:35:41 0000;Diapers & Wipes;Seni Super Breathable Adult Diapers - L  (10 Pieces);Seni;10 Pieces;652;TRUE
3470c8aac84f41239eceae525de5b6c3;2019-11-15 00:27:25 0000;Soft Drinks;Nu-Shakti Mix Me Nutrition Drink  (200 g, Plain Flavored);Nu-Shakti;200 g;90;TRUE
acbb806aacea8ad92969df67cdecdb16;2019-11-10 00:25:17 0000;Chips,Namkeen & Snacks;Bikano Navratan Mixture  (400 g);Bikano;400 g;89;TRUE
7abdaa3e78e1f4e44b666059d267769d;2019-11-15 00:28:44 0000;Chocolates & Sweets;LuvIt Dairy Rich Roasted Almond Bars  (40 g);LuvIt;40 g;30;TRUE
8f31718e4af320562a6b8821ead2c0bf;2019-11-23 03:06:08 0000;Masalas & Spices;Sakthi Chilli Chutney Powder  (50 g);Sakthi;50 g;20;TRUE
9d2cf09b54c22885d6abda6583705727;2019-11-25 00:23:15 0000;Rice & Rice Products;Organic Tattva Basmati Rice  (1 kg);Organic Tattva;1 kg;212;TRUE
75381e2a889c3abd5f80d73a3839d8a8;2019-11-30 00:29:25 0000;Soft Drinks;Schweppes Tonic  (300 ml);Schweppes;300 ml;50;TRUE
ec061feac1ebf04cc3ba5ced9a25b115;2019-11-05 00:36:52 0000;Diapers & Wipes;Pampers Baby-Dry Pants Diaper - L  (30 Pieces);Pampers;30 Pieces;484;FALSE
9f020d2698393753e42b2ef0772c8ef5;2019-11-14 00:27:09 0000;Chocolates & Sweets;Nestle Munch Bars  (202 g);Nestle;202 g;100;TRUE
e3608c1777bb3707b6276b20cb7892e3;2019-11-11 00:30:37 0000;Chocolates & Sweets;Fabelle Soft Centres Choco Mousse Bars  (59 g);Fabelle;59 g;72;TRUE
cce939fc39600dfc04357c5396cd2841;2019-11-26 00:34:05 0000;Oral Care;Krysa Steel Tongue Cleaner;Krysa;Pack of 1;36;TRUE
13472f31cdf652ec459a64a15b86cda5;2019-11-07 00:39:56 0000;Paper & Disposables;Freshee Value Plus -1 Ply White Napkins  (50 Sheets);Freshee;50 Sheets;20;TRUE
850d3971873a56500f9fc0b48535e28f;2019-11-04 00:48:37 0000;Pooja Needs;Om Bhakti Toran;Om Bhakti;;175;TRUE
3c210e7548edfba6c56b25f1059504b0;2019-11-30 00:25:49 0000;Chocolates & Sweets;Bikano Flax Seed Besan Laddu Box  (400 g);Bikano;400 g;110;TRUE
7301febcd44f9b4c81709d134136c0f1;2019-11-23 03:09:17 0000;Dry Fruits, Nuts & Seeds;Ziofit Indian Cashews  (200g Ziofit Almonds Free)  (200 g);Ziofit;200 g;435;TRUE
6b84ab7a596fcc165600086c5869fd13;2019-11-23 03:04:49 0000;Baking;Bluebird Citric Crystals  (50 g);Bluebird;50 g;27;TRUE
92bb664e1f09195e3ccc17b5f400fd4a;2019-11-14 00:27:09 0000;Biscuits;Britannia Nutri Choice Cracker  (100 g);Britannia;100 g;15;TRUE
e2594cd8991210eb275f4f7f8ae91b40;2019-11-04 00:35:30 0000;Soaps & Body Wash;Biotique Bio Apricot Body Wash  (190 ml);Biotique;190 ml;171;TRUE
5c9310adbb5864ffc0b7d14da536b993;2019-11-11 00:27:20 0000;Masalas & Spices;JK Garam Masala Whole  (50 g);JK;50 g;85;TRUE
5c783052300109a0630cd685e43b817a;2019-11-23 03:14:20 0000;Creams, Lotions, Skin Care;Lotus Herbals Fresh Apricot Scrub  (100 g);Lotus;;156;TRUE
aba14a6b14cf42bbaa64e893f892af0b;2019-11-17 00:38:32 0000;Diapers & Wipes;Pampers Active Baby Diapers - S  (46 Pieces);Pampers;46 Pieces;678;TRUE
4cd877a0995088d6de2b0677687e9251;2019-11-14 00:32:14 0000;Soaps & Body Wash;Nivea Fresh Pure Care Shower Gel  (500 ml);Nivea;500 ml;317;TRUE
a82cb73c1e8d908a81725a89d086471b;2019-11-25 00:38:38 0000;Shaving Needs;Super Max S 11 - Razor with Cartridges  (Twin Blade Catridge Pack with Handle Free)  (Pack of 4);Super Max;4 Units;58;TRUE
760c5c279ecfb6c08b41a3f1c979b5b7;2019-11-01 00:28:50 0000;Breakfast Cereals;Kwality Muesli Crunchy  (1 kg, Plastic Bottle);Kwality;1 kg Plastic Bottle;299;TRUE
ec8bf567de5279dd39cfb7c93aa82647;2019-11-08 00:33:28 0000;Hair Care;Biotique Bio Bhringraj Hair Oil  (120 ml);Biotique;120 ml;152;TRUE
5c13fff721a9ec48e238916b29837b21;2019-11-29 00:37:18 0000;Floor & Other Cleaners;Scotch Brite Kitchen Scrub Wet and Dry Microfibre Cleaning Cloth;Scotch Brite;Pack of 1 Unit @149/Units 1 Unit;149;TRUE
78f03dba80e13367104b42d79805d82e;2019-11-06 00:39:22 0000;Floor & Other Cleaners;Scotch Brite Floor Wet and Dry Cotton Cleaning Cloth;Scotch Brite;Pack of 1 Unit @57/Units 1 Unit;57;TRUE
7be301cf29a96536855d55cc211d0510;2019-11-18 00:29:22 0000;Ready To Cook;Suhana Cuppa Poha 80 g;Suhana;80 g;43;TRUE
9c880b4d04a3f2cb4207cb166d610aac;2019-11-04 00:28:21 0000;Biscuits;Dukes Waffy Vanilla Wafers  (75 g);Dukes;75 g;22;TRUE
3b4bf547da4425ec3e936b93e6991d45;2019-11-20 00:28:09 0000;Health Drink Mix;Cadbury Bournvita 5 Star Magic  (750 g);Cadbury Bournvita;750 g Pouch;228;TRUE
cbd3350ec47988a087e38112be029cfb;2019-11-02 00:38:24 0000;Dairy;Mother Dairy Milk Shake  (Mango);Mother Dairy;200 ml;25;TRUE
caacbaae8219f8961fe526837fd379a8;2019-11-15 00:41:49 0000;Dairy;Raw Pressery Almond Milk  (Coffee, 200 ml);Raw Pressery;200 ml;96;TRUE
ede28a963809dc82f1da199b8e2103e6;2019-11-27 00:26:10 0000;Atta & Flours;24 Mantra Organic Wheat Dhaliya  (500 g);24 Mantra Organic;500 g;44;TRUE
